表題：,都道府県・市区町村のすがた（社会・人口統計体系）,,,,,,,
公開日：,2022年6月21日,,,,,,,
,,,,,,,,
***,調査又は集計していないもの,,,,,,,
-,データが得られないもの,,,,,,,
X,数値が秘匿されているもの,,,,,,,
,,,,,,,,
,,,,/項目 コード,C120110,,C120120,
調査年 コード,調査年,地域 コード,地域,/項目,C120110_課税対象所得【千円】,注釈,C120120_納税義務者数（所得割）【人】,注釈
2015100000,2015年度,3215,岩手県 奥州市,,122737015,,48712,
2015100000,2015年度,3216,岩手県 滝沢市,,62733497,,24425,
2015100000,2015年度,3301,岩手県 雫石町,,15384933,,6670,
2015100000,2015年度,3302,岩手県 葛巻町,,5083453,,2275,
2015100000,2015年度,3303,岩手県 岩手町,,12164601,,5181,
2015100000,2015年度,3321,岩手県 紫波町,,34125707,,13541,
2015100000,2015年度,3322,岩手県 矢巾町,,31432047,,11813,
2015100000,2015年度,3366,岩手県 西和賀町,,4732189,,2057,
2015100000,2015年度,3381,岩手県 金ケ崎町,,16219916,,6291,
2015100000,2015年度,3402,岩手県 平泉町,,7097491,,3047,
2015100000,2015年度,3441,岩手県 住田町,,5143599,,2221,
2015100000,2015年度,3461,岩手県 大槌町,,10132611,,3941,
2015100000,2015年度,3482,岩手県 山田町,,12590298,,5163,
2015100000,2015年度,3483,岩手県 岩泉町,,7216316,,3212,
2015100000,2015年度,3484,岩手県 田野畑村,,2799980,,1207,
2015100000,2015年度,3485,岩手県 普代村,,2190199,,1011,
2015100000,2015年度,3501,岩手県 軽米町,,7271113,,3342,
2015100000,2015年度,3503,岩手県 野田村,,3532930,,1466,
2015100000,2015年度,3506,岩手県 九戸村,,4218307,,2070,
2015100000,2015年度,3507,岩手県 洋野町,,14806673,,6201,
2015100000,2015年度,3524,岩手県 一戸町,,10647141,,4667,
2015100000,2015年度,4100,宮城県 仙台市,,1600783506,,476763,
2015100000,2015年度,4202,宮城県 石巻市,,155216612,,53928,
2015100000,2015年度,4203,宮城県 塩竈市,,62333359,,22932,
2015100000,2015年度,4205,宮城県 気仙沼市,,67004465,,24849,
2015100000,2015年度,4206,宮城県 白石市,,37007704,,14594,
2015100000,2015年度,4207,宮城県 名取市,,103714646,,33022,
2015100000,2015年度,4208,宮城県 角田市,,32563754,,12309,
2015100000,2015年度,4209,宮城県 多賀城市,,80465000,,26859,
2015100000,2015年度,4211,宮城県 岩沼市,,54189902,,18820,
2015100000,2015年度,4212,宮城県 登米市,,76012768,,30629,
2015100000,2015年度,4213,宮城県 栗原市,,63874270,,25889,
2015100000,2015年度,4214,宮城県 東松島市,,39080482,,14236,
2015100000,2015年度,4215,宮城県 大崎市,,145908463,,54586,
2015100000,2015年度,4216,宮城県 富谷市,,71943779,,22006,
2015100000,2015年度,4301,宮城県 蔵王町,,11965477,,4902,
2015100000,2015年度,4302,宮城県 七ヶ宿町,,1104176,,510,
2015100000,2015年度,4321,宮城県 大河原町,,28468563,,10474,
2015100000,2015年度,4322,宮城県 村田町,,11022795,,4511,
2015100000,2015年度,4323,宮城県 柴田町,,43776217,,16328,
2015100000,2015年度,4324,宮城県 川崎町,,8334672,,3630,
2015100000,2015年度,4341,宮城県 丸森町,,13590609,,5508,
2015100000,2015年度,4361,宮城県 亘理町,,36375663,,13696,
2015100000,2015年度,4362,宮城県 山元町,,11309869,,4464,
2015100000,2015年度,4401,宮城県 松島町,,15299738,,5968,
2015100000,2015年度,4404,宮城県 七ヶ浜町,,22053078,,7925,
2015100000,2015年度,4406,宮城県 利府町,,49922670,,16177,
2015100000,2015年度,4421,宮城県 大和町,,33889931,,11809,
2015100000,2015年度,4422,宮城県 大郷町,,7829910,,3216,
2015100000,2015年度,4424,宮城県 大衡村,,5615597,,2248,
2015100000,2015年度,4444,宮城県 色麻町,,6647631,,2795,
2015100000,2015年度,4445,宮城県 加美町,,23407732,,9533,
2015100000,2015年度,4501,宮城県 涌谷町,,14894615,,6310,
2015100000,2015年度,4505,宮城県 美里町,,25609489,,10052,
2015100000,2015年度,4581,宮城県 女川町,,6359556,,2251,
2015100000,2015年度,4606,宮城県 南三陸町,,11596405,,4570,
2015100000,2015年度,5201,秋田県 秋田市,,394693686,,137253,
2015100000,2015年度,5202,秋田県 能代市,,51536632,,20752,
2015100000,2015年度,5203,秋田県 横手市,,84314410,,33765,
2015100000,2015年度,5204,秋田県 大館市,,72496017,,29582,
2015100000,2015年度,5206,秋田県 男鹿市,,23516767,,10079,
2015100000,2015年度,5207,秋田県 湯沢市,,39604934,,16640,
2015100000,2015年度,5209,秋田県 鹿角市,,27196554,,11949,
2015100000,2015年度,5210,秋田県 由利本荘市,,77634217,,31029,
2015100000,2015年度,5211,秋田県 潟上市,,30505144,,12847,
2015100000,2015年度,5212,秋田県 大仙市,,75812850,,30545,
2015100000,2015年度,5213,秋田県 北秋田市,,27983262,,12027,
2015100000,2015年度,5214,秋田県 にかほ市,,26916981,,10119,
2015100000,2015年度,5215,秋田県 仙北市,,21767821,,9388,
2015100000,2015年度,5303,秋田県 小坂町,,4733334,,1969,
2015100000,2015年度,5327,秋田県 上小阿仁村,,1657016,,792,
2015100000,2015年度,5346,秋田県 藤里町,,2303544,,1119,
2015100000,2015年度,5348,秋田県 三種町,,13548740,,6037,
2015100000,2015年度,5349,秋田県 八峰町,,5578596,,2524,
2015100000,2015年度,5361,秋田県 五城目町,,7977291,,3425,
2015100000,2015年度,5363,秋田県 八郎潟町,,5411575,,2270,
2015100000,2015年度,5366,秋田県 井川町,,4223850,,1741,
2015100000,2015年度,5368,秋田県 大潟村,,5290154,,1764,
2015100000,2015年度,5434,秋田県 美郷町,,16062362,,7070,
2015100000,2015年度,5463,秋田県 羽後町,,11664407,,5161,
2015100000,2015年度,5464,秋田県 東成瀬村,,1886397,,936,
2015100000,2015年度,6201,山形県 山形市,,339542551,,112451,
2015100000,2015年度,6202,山形県 米沢市,,93348790,,36146,
2015100000,2015年度,6203,山形県 鶴岡市,,139545078,,55561,
2015100000,2015年度,6204,山形県 酒田市,,116197692,,45386,
2015100000,2015年度,6205,山形県 新庄市,,38371316,,15067,
2015100000,2015年度,6206,山形県 寒河江市,,47210247,,17965,
2015100000,2015年度,6207,山形県 上山市,,31808444,,13209,
2015100000,2015年度,6208,山形県 村山市,,25094433,,10045,
2015100000,2015年度,6209,山形県 長井市,,30027025,,11944,
2015100000,2015年度,6210,山形県 天童市,,71209218,,26598,
2015100000,2015年度,6211,山形県 東根市,,54544693,,20594,
2015100000,2015年度,6212,山形県 尾花沢市,,14891128,,6109,
2015100000,2015年度,6213,山形県 南陽市,,34804902,,13572,
2015100000,2015年度,6301,山形県 山辺町,,15562384,,6138,
